#{"t_start": 1761889711.5764668, "env_id": "SafetyPointGoal1-v0"}
r,l,t,cost
376.280224,1000,633.3662,0.0
470.784178,1000,637.317872,0.0
389.293731,1000,640.028547,0.0
236.910917,1000,643.898382,0.0
304.897211,1000,646.466862,0.0
666.922893,1000,650.364385,0.0
444.867888,1000,652.903861,0.0
323.424162,1000,657.160973,0.0
395.533662,1000,659.960542,1.0
399.510288,1000,664.318383,0.0
431.360744,1000,667.029391,0.0
439.259535,1000,671.163537,0.0
474.295673,1000,674.033514,0.0
429.517176,1000,678.46251,0.0
378.568936,1000,681.169588,0.0
513.131409,1000,685.494627,0.0
451.726607,1000,688.261935,0.0
330.850996,1000,692.351111,0.0
514.463841,1000,695.21835,0.0
429.871293,1000,699.641109,0.0
542.073648,1000,702.578631,0.0
566.74979,1000,706.752801,0.0
456.021506,1000,709.364926,0.0
367.352994,1000,712.059731,0.0
146.852381,1000,716.142523,0.0
431.347398,1000,719.55714,0.0
481.151065,1000,723.894963,0.0
520.504188,1000,726.977809,0.0
193.821443,1000,731.093831,0.0
530.325196,1000,733.951676,0.0
540.440252,1000,737.62939,0.0
550.250274,1000,740.355301,0.0
455.315737,1000,744.037862,0.0
669.228535,1000,746.730896,0.0
298.888181,1000,750.405641,1.0
480.60841,1000,752.934276,1.0
425.688301,1000,756.729419,0.0
443.488869,1000,759.253341,0.0
259.526443,1000,762.961589,0.0
421.065422,1000,765.6005,0.0
332.010242,1000,769.26391,0.0
407.43302,1000,771.817075,0.0
456.621063,1000,775.579958,0.0
483.509836,1000,778.217905,1.0
273.849273,1000,782.672497,1.0
462.801313,1000,785.646016,0.0
550.861848,1000,789.354175,0.0
299.899788,1000,792.168453,0.0
540.039959,1000,795.984466,0.0
585.636631,1000,798.72433,0.0
332.066858,1000,802.535511,0.0
599.24983,1000,805.334608,0.0
601.624924,1000,809.268639,0.0
432.912086,1000,812.319714,0.0
191.716564,1000,816.247764,0.0
289.648216,1000,819.006954,0.0
264.227943,1000,822.980098,0.0
434.17413,1000,825.855733,0.0
427.364342,1000,829.64335,0.0
488.91302,1000,832.43074,0.0
475.075439,1000,836.151801,1.0
477.135211,1000,839.016973,0.0
239.933968,1000,842.810728,0.0
419.378037,1000,845.545502,0.0
471.476551,1000,848.128633,0.0
285.877043,1000,852.397479,1.0
535.398318,1000,855.039608,0.0
173.611347,1000,858.912102,1.0
341.030427,1000,861.50404,0.0
